Country,Ratification,treaty,Entry,Signature,Note,Territorial Application,Declarations,Reservations,Communication,Authorities,Denunciation,Effect denunciation,Objection
Slovakia,18/3/1992,Convention for the Protection of Human Rights and Fundamental Freedoms,1/1/1993,21/2/1991,17,,X,X,,,,,
Slovenia,28/6/1994,Convention for the Protection of Human Rights and Fundamental Freedoms,28/6/1994,14/5/1993,,,X,,,,,,
Spain,4/10/1979,Convention for the Protection of Human Rights and Fundamental Freedoms,4/10/1979,24/11/1977,,,X,X,,,,,
Sweden,4/2/1952,Convention for the Protection of Human Rights and Fundamental Freedoms,3/9/1953,28/11/1950,,,X,,,,,,
Switzerland,28/11/1974,Convention for the Protection of Human Rights and Fundamental Freedoms,28/11/1974,21/12/1972,,,X,,,,,,
Macedonia,10/4/1997,Convention for the Protection of Human Rights and Fundamental Freedoms,10/4/1997,9/11/1995,,,X,,,,,,
Turkey,18/5/1954,Convention for the Protection of Human Rights and Fundamental Freedoms,18/5/1954,4/11/1950,,,X,,X,,,,
Ukraine,11/9/1997,Convention for the Protection of Human Rights and Fundamental Freedoms,11/9/1997,9/11/1995,,,X,X,,,,,
United Kingdom,8/3/1951,Convention for the Protection of Human Rights and Fundamental Freedoms,3/9/1953,4/11/1950,,X,X,,X,,,,
European Union,,Convention for the Protection of Human Rights and Fundamental Freedoms,,,,,,,,,,,
Albania,2/10/1996,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,2/10/1996,2/10/1996,,,,X,,,,,
Andorra,6/5/2008,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,6/5/2008,31/5/2007,,,X,,,,,,
Armenia,26/4/2002,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,26/4/2002,25/1/2001,,,,,,,,,
Austria,3/9/1958,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,3/9/1958,13/12/1957,,,,X,,,,,
Azerbaijan,15/4/2002,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,15/4/2002,25/1/2001,,,X,,,,,,
Belgium,14/6/1955,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,14/6/1955,20/3/1952,,,,,,,,,
Bosnia and Herzegovina,12/7/2002,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,12/7/2002,24/4/2002,,,,,,,,,
Bulgaria,7/9/1992,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,7/9/1992,7/5/1992,,,X,X,,,,,
Croatia,5/11/1997,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,5/11/1997,6/11/1996,,,,,,,,,
Cyprus,6/10/1962,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,6/10/1962,16/12/1961,,,,,,,,,
Czech Republic,18/3/1992,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,1/1/1993,21/2/1991,17,,,,,,,,
