algeria,Access to Communications,"Access to Internet is increasing in Algeria: according to ITU, 4.5 million algerians have access to Internet, representing about 12.8% of the population (200,000 in 2001 according to the ministry of posts and telecommunications [http://www.itu.int/ITU-D/ict/statistics/at_glance/ARTI02_E.pdf source]). About two third of the users connect from home. More than 70% of the users complain about the bandwith and disrupting communications ([http://www.itu.int/ITU-D/ict/newslog/Algeria+Internet+Penetration+Estimated+At+128.aspx source]).

"
algeria,Censorship,"There's no evidence of direct censorship ([http://opennet.net/research/profiles/algeria source]). However, decrees enable the government to set its critics' sites as unreachable. The most famous example is the rachad network which is (or at least was) not accessible within Algeria ([http://www.ifex.org/algeria/2008/06/09/capsule_report_press_freedom_still/ source]).

"
algeria,Surveillance,"The minister of Post, Information and Communication Technologies Hamid Bessalah told on November 5th 2009 that he would propose a filtering system, officially to block pornographic and terrorist sites. The system will filter what comes in and out of Algeria ([http://www.magharebia.com/cocoon/awi/xhtml1/en_GB/features/awi/features/2009/12/15/feature-02 source]).

"
algeria,Intellectual Property,"
=== Copyright ===
The copyright laws are inspired by the French ones. However they are seldom respected.

=== Patents ===
Software patents don't seem to be effective in Algeria.

"
algeria,Agencies and Groups,"
=== Digital and Information Related Agencies ===


=== Digital rights groups in Algeria ===


"
censorship,General Overview,"[http://opennet.net/about-filtering Filtering types] by the OpenNet Initiative

"
censorship,Geographical,"
* [http://opennet.net/research/profiles Country profiles] curtesy of Opennet Initiative
* [http://map.opennet.net/filtering-pol.html interactive map] by the OpenNet Initiative
* Regional Overviews
** [http://opennet.net/research/regions/asia Asia]
** [http://opennet.net/research/australia-and-new-zealand Australia/New Zealand]
** the [http://opennet.net/research/regions/cis Commonwealth of Independent States]
** [http://opennet.net/research/regions/europe Europe]
** [http://opennet.net/research/regions/la Latin America]
** the [http://opennet.net/research/regions/mena Middle East and North Africa]
** [http://opennet.net/research/regions/ssafrica sub-Saharan Africa]
** and the [http://opennet.net/research/regions/namerica United States/Canada]

"
censorship,Crowdsourced reports on Web Censorship,"
* [http://www.herdict.org/web/ The verdict of the Herd]
* Freedom House 2011 [http://www.freedomhouse.org/template.cfm?page=664 A Global Assessment of Internet and Digital Media Freedom]

"
czech republic,Access to Communications,"
Access to communication technologies is similar to other EU countries. GSM communication both at voice and data level, internet communication provided most by large telcom corporation such as O2 or UPC; smaller ISP such as netbox.cz exists too. Traffic limitation is frequent only at GSM level, leaving home-internet without strict limitations.

"
czech republic,Censorship,"
There are no known cases of individual or targeted censorship to me at this time, please fix this if you know of something. All three GSM operators, however, filter data traffic through IWF black lists. [http://www.vodafone.cz/live/informace_nastaveni/blokovani.htm (vodafone cz)], [http://www.lupa.cz/zpravicky/telefonica-o2-potvrdila-filtrovani-stranek/ (Telefonica O2)], [http://t-press.cz/tiskove_zpravy/2010/1081/ (T-Mobile)]. 

Under the Act No. 52/2009 Coll. ([http://portal.gov.cz/zakon/52/2009 source, cs]) it is forbidden to inform about names of the victims without their written consent. The restriction also apply to information about the state representatives - for example news cannot inform without written consent about the attack on prime minister. Also it is forbidden to release the leaked police evidence, especially the lawful interception. Therefore the news cannot inform about the coruption suspicion if it came from such source. The penalty for infraction is 1.000.000 Kč (~ 40.000€) (5.000.000 Kč if it is in newspapers, radio, movie or on internet) or 3 years in jail (1 to 5 years if it is in newspapers, radio, movie or on internet) (§ 180 Act No. 40/2009 Coll., Penal code [http://portal.gov.cz/zakon/40/2009/180 source, cs]). The independent blogs, even the participants of discussions, are considered in the same way as the big news sites on the internet, so the larger penalty applies on the bloggers and people commenting the article. (The Act is called The muzzle act - ""náhubkový zákon"").

"
