Chapter,Country,Ratification,Treaty,Signature
Charter of the United Nations and Statute of the International Court of Justice,Argentina,24 Sep 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Australia,1 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Belarus,24 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Belgium,27 Dec 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Bolivia (Plurinational State of),14 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Brazil,21 Sep 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Canada,9 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Chile,11 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,China,28 Sep 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Colombia,5 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Costa Rica,2 Nov 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Cuba,15 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
Charter of the United Nations and Statute of the International Court of Justice,Denmark,9 Oct 1945,"Charter of the United Nations (deposited in the archives of the Government of the United States of America).   San Francisco, 26 June 1945",
