Status,url,Country,Date,treaty
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=903C,Albania,"March 6, 1994",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=904C,Algeria,"April 19, 1998",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1743C,Andorra,"June 2, 2004",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=905C,Antigua and Barbuda,"March 17, 2000",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=906C,Argentina,"June 10, 1967",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=907C,Armenia,"October 19, 2000",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=908C,Australia,"April 14, 1928",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=909C,Austria,"October 1, 1920",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=910C,Azerbaijan,"June 4, 1999",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=911C,Bahamas,"July 10, 1973",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=912C,Bahrain,"March 2, 1997",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=1744C,Bangladesh,"May 4, 1999",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=914C,Barbados,"July 30, 1983",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=915C,Belarus,"December 12, 1997",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=916C,Belgium,"December 5, 1887",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=917C,Belize,"June 17, 2000",Berne Convention
In Force,http://www.wipo.int/treaties/en/Remarks.jsp?cnty_id=918C,Benin,"January 3, 1961",Berne Convention
